name,PSNR,SSIM,PSIM,SIFT,EMDI
coffe,15.385661779917285,0.38626942831323113,0.043459508426338236,1.0,0.0003336390973295079
camera,17.80619179756307,0.32356497029123493,0.06555700285950718,1.0,0.0009808491349714314
coins,16.627273200818845,0.21910732797239418,0.07537772950225727,0.5909090909090909,0.0004751698944309571
page,16.235098339859764,0.256738350044203,0.14267726708624057,0.8541666666666666,0.0021692288769955127



